Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Comment,Status Category
Verify the 'Export' Buttons so that the Saved Personal agenda Can be added Into the personal Calendar.,EL-68,10083,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,08/Sep/21 8:02 PM,09/Sep/21 5:05 AM,09/Sep/21 5:05 AM,09/Sep/21 5:05 AM,,0,"As a User when I navigates for the export buttons which are available in the personal agenda calendar pop up then I am able to download those personal agenda calendar.

Those 'Export' Buttons are :-
* Export in iCal format as private event
* Export in iCal format as public event
* Export in iCal format as confidential event",,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ez:,,EL Sprint 1,,,,,,,,,Done
Verify that 'Previous Button' to change the month is working or not.,EL-67,10082,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,08/Sep/21 4:43 PM,09/Sep/21 5:05 AM,08/Sep/21 4:43 PM,09/Sep/21 5:05 AM,,0,When a user navigates the Agenda List option in personal agenda they can change their month by using *Previous* Button to Find their scheduled or pending  work which they have  added in their personal agenda.  ,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000er:,,EL Sprint 1,,,,,,,,,Done
Verify that 'Next Button' to change the month is working or not. ,EL-66,10081,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,08/Sep/21 11:08 AM,09/Sep/21 5:05 AM,08/Sep/21 4:45 PM,09/Sep/21 5:05 AM,,0,When a user navigates the Agenda List option in personal agenda they can change their month by using *Next* Button to Find their scheduled or pending  work which they have  added in their personal agenda.  ,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000ej:,,EL Sprint 1,,,,,,,,,Done
"Verify the 'Session Plan Calendar' in personal agenda, That a User is not able to see the content. ",EL-65,10080,Bug,To Do,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,08/Sep/21 10:02 AM,08/Sep/21 10:30 AM,08/Sep/21 10:15 AM,,,0,"Steps To Reproduce.

# Go to the  *_e_Learning Website._*
# Go to personal agenda and select for 'Session Plan Calendar' option from Toolbar in personal agenda.
# User is unable to See the content in this option.



*Expected Result* *:*-  When an User navigates for this option that user should able to see the Session or Available plans for the particular course sorted with Dates. 

*Actual result*  :- User is unable to see the Plans/ Session available in ‘Session Plan Calendar’

h2. 

!Session Plan Calendar .jpg|width=1920,height=1080!",,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,EL-64,,EL-64,,,,,,,,,,,,,,08/Sep/21 10:14 AM;ug:04b627af-7f1d-494b-bc4c-42af51646025;Session Plan Calendar .jpg;https://corporateola123456.atlassian.net/secure/attachment/10006/Session+Plan+Calendar+.jpg,,,,,,{},,,,,,,0|i0002w:x,,EL Sprint 1,,,,,,,,,To Do
Verify the 'Session Plan Calendar' Button from Toolbar in Personal agenda.,EL-64,10079,Test,Block,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,07/Sep/21 3:52 AM,08/Sep/21 10:36 AM,09/Sep/21 5:13 AM,,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0002w:v,,EL Sprint 1,,,,,,,,,In Progress
Verify the 'Agenda List' Button from Toolbar in Personal agenda.,EL-63,10078,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,07/Sep/21 3:44 AM,07/Sep/21 8:31 AM,08/Sep/21 7:42 PM,07/Sep/21 8:31 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i0002w:r,,EL Sprint 1,,,,,,,,,Done
Verify for agenda list that saved Personal agenda is showing correctly or not. ,EL-62,10077,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 6:59 PM,07/Sep/21 8:40 AM,09/Sep/21 5:13 AM,07/Sep/21 8:40 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000eb:,,EL Sprint 1,,,,,,,,,Done
Verify the 'Description' by Hover in 'Agenda List' where an user added a personal agenda.,EL-61,10076,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 6:52 PM,07/Sep/21 8:40 AM,09/Sep/21 5:13 AM,07/Sep/21 8:40 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000e3:,,EL Sprint 1,,,,,,,,,Done
Verify that saved  'Title' is visible or not For a personal agenda in agenda List.,EL-60,10075,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 6:45 PM,07/Sep/21 8:40 AM,09/Sep/21 5:13 AM,07/Sep/21 8:40 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000dv:,,EL Sprint 1,,,,,,,,,Done
Verify that in clicking on 'Agenda List' in  personal Agenda option agenda list  widget should open.,EL-59,10074,Test,Done,EL,E - Learning,software,Swarup Kulkarni,612efa4cb1894f00716dc42d,,Medium,Done,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,Swarup Kulkarni,612efa4cb1894f00716dc42d,06/Sep/21 3:09 PM,07/Sep/21 9:07 AM,07/Sep/21 9:14 AM,07/Sep/21 8:40 AM,,0,,,Swarup Kulkarni,612efa4cb1894f00716dc42d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,0|i000dn:,,EL Sprint 1,,,,,,,,,Done
